Label,Year,Value,1-Month % Change
2014 Jan,2014,235.288,0.2
2014 Feb,2014,235.547,0.1
2014 Mar,2014,236.028,0.2
2014 Apr,2014,236.468,0.2
2014 May,2014,236.918,0.2
2014 Jun,2014,237.231,0.1
2014 Jul,2014,237.498,0.1
2014 Aug,2014,237.46,0.0
2014 Sep,2014,237.477,0.0
2014 Oct,2014,237.43,0.0
2014 Nov,2014,236.983,-0.2
2014 Dec,2014,236.252,-0.3
2015 Jan,2015,234.747,-0.6
2015 Feb,2015,235.342,0.3
2015 Mar,2015,235.976,0.3
2015 Apr,2015,236.222,0.1
2015 May,2015,237.001,0.3
2015 Jun,2015,237.657,0.3
2015 Jul,2015,238.034,0.2
2015 Aug,2015,238.033,0.0
2015 Sep,2015,237.498,-0.2
2015 Oct,2015,237.733,0.1
2015 Nov,2015,238.017,0.1
2015 Dec,2015,237.761,-0.1
2016 Jan,2016,237.652,0.0
2016 Feb,2016,237.336,-0.1
2016 Mar,2016,238.08,0.3
2016 Apr,2016,238.992,0.4
2016 May,2016,239.557,0.2
2016 Jun,2016,240.222,0.3
2016 Jul,2016,240.101,-0.1
2016 Aug,2016,240.545,0.2
2016 Sep,2016,241.176,0.3
2016 Oct,2016,241.741,0.2
2016 Nov,2016,242.026,0.1
2016 Dec,2016,242.637,0.3
2017 Jan,2017,243.618,0.4
2017 Feb,2017,244.006,0.2
2017 Mar,2017,243.892,0.0
2017 Apr,2017,244.193,0.1
2017 May,2017,244.004,-0.1
2017 Jun,2017,244.163,0.1
2017 Jul,2017,244.243,0.0
2017 Aug,2017,245.183,0.4
2017 Sep,2017,246.435,0.5
2017 Oct,2017,246.626,0.1
2017 Nov,2017,247.284,0.3
2017 Dec,2017,247.805,0.2
2018 Jan,2018,248.859,0.4
2018 Feb,2018,249.529,0.3
2018 Mar,2018,249.577,0.0
2018 Apr,2018,250.227,0.3
2018 May,2018,250.792,0.2
2018 Jun,2018,251.018,0.1
2018 Jul,2018,251.214,0.1
2018 Aug,2018,251.663,0.2
2018 Sep,2018,252.182,0.2
2018 Oct,2018,252.772,0.2
2018 Nov,2018,252.594,-0.1
2018 Dec,2018,252.767,0.1
2019 Jan,2019,252.718,0.0
2019 Feb,2019,253.322,0.2
2019 Mar,2019,254.202,0.3
2019 Apr,2019,255.211,0.4
2019 May,2019,255.29,0.0
2019 Jun,2019,255.159,-0.1
2019 Jul,2019,255.685,0.2
2019 Aug,2019,256.059,0.1
2019 Sep,2019,256.511,0.2
2019 Oct,2019,257.244,0.3
2019 Nov,2019,257.803,0.2
2019 Dec,2019,258.616,0.3
2020 Jan,2020,259.037,0.2
2020 Feb,2020,259.248,0.1
2020 Mar,2020,258.124,-0.4
2020 Apr,2020,256.092,-0.8
2020 May,2020,255.868,-0.1
2020 Jun,2020,256.986,0.4
2020 Jul,2020,258.278,0.5
2020 Aug,2020,259.411,0.4
2020 Sep,2020,260.029,0.2
2020 Oct,2020,260.286,0.1
2020 Nov,2020,260.813,0.2
2020 Dec,2020,262.035,0.5
2021 Jan,2021,262.65,0.2
2021 Feb,2021,263.638,0.4
2021 Mar,2021,264.914,0.5
2021 Apr,2021,266.67,0.7
2021 May,2021,268.444,0.7
2021 Jun,2021,270.559,0.8
2021 Jul,2021,271.764,0.4
2021 Aug,2021,272.87,0.4
2021 Sep,2021,274.028,0.4
2021 Oct,2021,276.522,0.9
2021 Nov,2021,278.711,0.8
2021 Dec,2021,280.887,0.8
2022 Jan,2022,282.599,0.6
2022 Feb,2022,284.61,0.7
2022 Mar,2022,287.472,1.0
2022 Apr,2022,288.611,0.4
2022 May,2022,291.268,0.9
2022 Jun,2022,294.728,1.2
2022 Jul,2022,294.628,0.0
2022 Aug,2022,295.32,0.2
2022 Sep,2022,296.539,0.4
2022 Oct,2022,297.987,0.5
2022 Nov,2022,298.598,0.2
2022 Dec,2022,298.99,0.1
2023 Jan,2023,300.536,0.5
2023 Feb,2023,301.648,0.4
2023 Mar,2023,301.808,0.1
2023 Apr,2023,302.918,0.4
2023 May,2023,303.294,0.1
2023 Jun,2023,303.841,0.2
2023 Jul,2023,304.348,0.2
2023 Aug,2023,306.269,0.6
2023 Sep,2023,307.481,0.4
2023 Oct,2023,307.619,0.0
2023 Nov,2023,307.917,0.1
