,Year,Period,Label,Value,1-Month % Change
0,1998,M01,1998-01-01,162.0,0.1
1,1998,M02,1998-02-01,162.0,0.0
2,1998,M03,1998-03-01,162.0,0.0
3,1998,M04,1998-04-01,162.2,0.1
4,1998,M05,1998-05-01,162.6,0.2
5,1998,M06,1998-06-01,162.8,0.1
6,1998,M07,1998-07-01,163.2,0.2
7,1998,M08,1998-08-01,163.4,0.1
8,1998,M09,1998-09-01,163.5,0.1
9,1998,M10,1998-10-01,163.9,0.2
10,1998,M11,1998-11-01,164.1,0.1
11,1998,M12,1998-12-01,164.4,0.2
12,1999,M01,1999-01-01,164.7,0.2
13,1999,M02,1999-02-01,164.7,0.0
14,1999,M03,1999-03-01,164.8,0.1
15,1999,M04,1999-04-01,165.9,0.7
16,1999,M05,1999-05-01,166.0,0.1
17,1999,M06,1999-06-01,166.0,0.0
18,1999,M07,1999-07-01,166.7,0.4
19,1999,M08,1999-08-01,167.1,0.2
20,1999,M09,1999-09-01,167.8,0.4
21,1999,M10,1999-10-01,168.1,0.2
22,1999,M11,1999-11-01,168.4,0.2
23,1999,M12,1999-12-01,168.8,0.2
24,2000,M01,2000-01-01,169.3,0.3
25,2000,M02,2000-02-01,170.0,0.4
26,2000,M03,2000-03-01,171.0,0.6
27,2000,M04,2000-04-01,170.9,-0.1
28,2000,M05,2000-05-01,171.2,0.2
29,2000,M06,2000-06-01,172.2,0.6
30,2000,M07,2000-07-01,172.7,0.3
31,2000,M08,2000-08-01,172.7,0.0
32,2000,M09,2000-09-01,173.6,0.5
33,2000,M10,2000-10-01,173.9,0.2
34,2000,M11,2000-11-01,174.2,0.2
35,2000,M12,2000-12-01,174.6,0.2
36,2001,M01,2001-01-01,175.6,0.6
37,2001,M02,2001-02-01,176.0,0.2
38,2001,M03,2001-03-01,176.1,0.1
39,2001,M04,2001-04-01,176.4,0.2
40,2001,M05,2001-05-01,177.3,0.5
41,2001,M06,2001-06-01,177.7,0.2
42,2001,M07,2001-07-01,177.4,-0.2
43,2001,M08,2001-08-01,177.4,0.0
44,2001,M09,2001-09-01,178.1,0.4
45,2001,M10,2001-10-01,177.6,-0.3
46,2001,M11,2001-11-01,177.5,-0.1
47,2001,M12,2001-12-01,177.4,-0.1
48,2002,M01,2002-01-01,177.7,0.2
49,2002,M02,2002-02-01,178.0,0.2
50,2002,M03,2002-03-01,178.5,0.3
51,2002,M04,2002-04-01,179.3,0.4
52,2002,M05,2002-05-01,179.5,0.1
53,2002,M06,2002-06-01,179.6,0.1
54,2002,M07,2002-07-01,180.0,0.2
55,2002,M08,2002-08-01,180.5,0.3
56,2002,M09,2002-09-01,180.8,0.2
57,2002,M10,2002-10-01,181.2,0.2
58,2002,M11,2002-11-01,181.5,0.2
59,2002,M12,2002-12-01,181.8,0.2
60,2003,M01,2003-01-01,182.6,0.4
61,2003,M02,2003-02-01,183.6,0.5
62,2003,M03,2003-03-01,183.9,0.2
63,2003,M04,2003-04-01,183.2,-0.4
64,2003,M05,2003-05-01,182.9,-0.2
65,2003,M06,2003-06-01,183.1,0.1
66,2003,M07,2003-07-01,183.7,0.3
67,2003,M08,2003-08-01,184.5,0.4
68,2003,M09,2003-09-01,185.1,0.3
69,2003,M10,2003-10-01,184.9,-0.1
70,2003,M11,2003-11-01,185.0,0.1
71,2003,M12,2003-12-01,185.5,0.3
72,2004,M01,2004-01-01,186.3,0.4
73,2004,M02,2004-02-01,186.7,0.2
74,2004,M03,2004-03-01,187.1,0.2
75,2004,M04,2004-04-01,187.4,0.2
76,2004,M05,2004-05-01,188.2,0.4
77,2004,M06,2004-06-01,188.9,0.4
78,2004,M07,2004-07-01,189.1,0.1
79,2004,M08,2004-08-01,189.2,0.1
80,2004,M09,2004-09-01,189.8,0.3
81,2004,M10,2004-10-01,190.8,0.5
82,2004,M11,2004-11-01,191.7,0.5
83,2004,M12,2004-12-01,191.7,0.0
84,2005,M01,2005-01-01,191.6,-0.1
85,2005,M02,2005-02-01,192.4,0.4
86,2005,M03,2005-03-01,193.1,0.4
87,2005,M04,2005-04-01,193.7,0.3
88,2005,M05,2005-05-01,193.6,-0.1
89,2005,M06,2005-06-01,193.7,0.1
90,2005,M07,2005-07-01,194.9,0.6
91,2005,M08,2005-08-01,196.1,0.6
92,2005,M09,2005-09-01,198.8,1.4
93,2005,M10,2005-10-01,199.1,0.2
94,2005,M11,2005-11-01,198.1,-0.5
95,2005,M12,2005-12-01,198.1,0.0
96,2006,M01,2006-01-01,199.3,0.6
97,2006,M02,2006-02-01,199.4,0.1
98,2006,M03,2006-03-01,199.7,0.2
99,2006,M04,2006-04-01,200.7,0.5
100,2006,M05,2006-05-01,201.3,0.3
101,2006,M06,2006-06-01,201.8,0.2
102,2006,M07,2006-07-01,202.9,0.5
103,2006,M08,2006-08-01,203.8,0.4
104,2006,M09,2006-09-01,202.8,-0.5
105,2006,M10,2006-10-01,201.9,-0.4
106,2006,M11,2006-11-01,202.0,0.0
107,2006,M12,2006-12-01,203.1,0.5
108,2007,M01,2007-01-01,203.437,0.2
109,2007,M02,2007-02-01,204.226,0.4
110,2007,M03,2007-03-01,205.288,0.5
111,2007,M04,2007-04-01,205.904,0.3
112,2007,M05,2007-05-01,206.755,0.4
113,2007,M06,2007-06-01,207.234,0.2
114,2007,M07,2007-07-01,207.603,0.2
115,2007,M08,2007-08-01,207.667,0.0
116,2007,M09,2007-09-01,208.547,0.4
117,2007,M10,2007-10-01,209.19,0.3
118,2007,M11,2007-11-01,210.834,0.8
119,2007,M12,2007-12-01,211.445,0.3
120,2008,M01,2008-01-01,212.174,0.3
121,2008,M02,2008-02-01,212.687,0.2
122,2008,M03,2008-03-01,213.448,0.4
123,2008,M04,2008-04-01,213.942,0.2
124,2008,M05,2008-05-01,215.208,0.6
125,2008,M06,2008-06-01,217.463,1.0
126,2008,M07,2008-07-01,219.016,0.7
127,2008,M08,2008-08-01,218.69,-0.1
128,2008,M09,2008-09-01,218.877,0.1
129,2008,M10,2008-10-01,216.995,-0.9
130,2008,M11,2008-11-01,213.153,-1.8
131,2008,M12,2008-12-01,211.398,-0.8
132,2009,M01,2009-01-01,211.933,0.3
133,2009,M02,2009-02-01,212.705,0.4
134,2009,M03,2009-03-01,212.495,-0.1
135,2009,M04,2009-04-01,212.709,0.1
136,2009,M05,2009-05-01,213.022,0.1
137,2009,M06,2009-06-01,214.79,0.8
138,2009,M07,2009-07-01,214.726,0.0
139,2009,M08,2009-08-01,215.445,0.3
140,2009,M09,2009-09-01,215.861,0.2
141,2009,M10,2009-10-01,216.509,0.3
142,2009,M11,2009-11-01,217.234,0.3
143,2009,M12,2009-12-01,217.347,0.1
144,2010,M01,2010-01-01,217.488,0.1
145,2010,M02,2010-02-01,217.281,-0.1
146,2010,M03,2010-03-01,217.353,0.0
147,2010,M04,2010-04-01,217.403,0.0
148,2010,M05,2010-05-01,217.29,-0.1
149,2010,M06,2010-06-01,217.199,0.0
150,2010,M07,2010-07-01,217.605,0.2
151,2010,M08,2010-08-01,217.923,0.1
152,2010,M09,2010-09-01,218.275,0.2
153,2010,M10,2010-10-01,219.035,0.3
154,2010,M11,2010-11-01,219.59,0.3
155,2010,M12,2010-12-01,220.472,0.4
156,2011,M01,2011-01-01,221.187,0.3
157,2011,M02,2011-02-01,221.898,0.3
158,2011,M03,2011-03-01,223.046,0.5
159,2011,M04,2011-04-01,224.093,0.5
160,2011,M05,2011-05-01,224.806,0.3
161,2011,M06,2011-06-01,224.806,0.0
162,2011,M07,2011-07-01,225.395,0.3
163,2011,M08,2011-08-01,226.106,0.3
164,2011,M09,2011-09-01,226.597,0.2
165,2011,M10,2011-10-01,226.75,0.1
166,2011,M11,2011-11-01,227.169,0.2
167,2011,M12,2011-12-01,227.223,0.0
168,2012,M01,2012-01-01,227.842,0.3
169,2012,M02,2012-02-01,228.329,0.2
170,2012,M03,2012-03-01,228.807,0.2
171,2012,M04,2012-04-01,229.187,0.2
172,2012,M05,2012-05-01,228.713,-0.2
173,2012,M06,2012-06-01,228.524,-0.1
174,2012,M07,2012-07-01,228.59,0.0
175,2012,M08,2012-08-01,229.918,0.6
176,2012,M09,2012-09-01,231.015,0.5
177,2012,M10,2012-10-01,231.638,0.3
178,2012,M11,2012-11-01,231.249,-0.2
179,2012,M12,2012-12-01,231.221,0.0
180,2013,M01,2013-01-01,231.679,0.2
181,2013,M02,2013-02-01,232.937,0.5
182,2013,M03,2013-03-01,232.282,-0.3
183,2013,M04,2013-04-01,231.797,-0.2
184,2013,M05,2013-05-01,231.893,0.0
185,2013,M06,2013-06-01,232.445,0.2
186,2013,M07,2013-07-01,232.9,0.2
187,2013,M08,2013-08-01,233.456,0.2
188,2013,M09,2013-09-01,233.544,0.0
189,2013,M10,2013-10-01,233.669,0.1
190,2013,M11,2013-11-01,234.1,0.2
191,2013,M12,2013-12-01,234.719,0.3
192,2014,M01,2014-01-01,235.288,0.2
193,2014,M02,2014-02-01,235.547,0.1
194,2014,M03,2014-03-01,236.028,0.2
195,2014,M04,2014-04-01,236.468,0.2
196,2014,M05,2014-05-01,236.918,0.2
197,2014,M06,2014-06-01,237.231,0.1
198,2014,M07,2014-07-01,237.498,0.1
199,2014,M08,2014-08-01,237.46,0.0
200,2014,M09,2014-09-01,237.477,0.0
201,2014,M10,2014-10-01,237.43,0.0
202,2014,M11,2014-11-01,236.983,-0.2
203,2014,M12,2014-12-01,236.252,-0.3
204,2015,M01,2015-01-01,234.747,-0.6
205,2015,M02,2015-02-01,235.342,0.3
206,2015,M03,2015-03-01,235.976,0.3
207,2015,M04,2015-04-01,236.222,0.1
208,2015,M05,2015-05-01,237.001,0.3
209,2015,M06,2015-06-01,237.657,0.3
210,2015,M07,2015-07-01,238.034,0.2
211,2015,M08,2015-08-01,238.033,0.0
212,2015,M09,2015-09-01,237.498,-0.2
213,2015,M10,2015-10-01,237.733,0.1
214,2015,M11,2015-11-01,238.017,0.1
215,2015,M12,2015-12-01,237.761,-0.1
216,2016,M01,2016-01-01,237.652,0.0
217,2016,M02,2016-02-01,237.336,-0.1
218,2016,M03,2016-03-01,238.08,0.3
219,2016,M04,2016-04-01,238.992,0.4
220,2016,M05,2016-05-01,239.557,0.2
221,2016,M06,2016-06-01,240.222,0.3
222,2016,M07,2016-07-01,240.101,-0.1
223,2016,M08,2016-08-01,240.545,0.2
224,2016,M09,2016-09-01,241.176,0.3
225,2016,M10,2016-10-01,241.741,0.2
226,2016,M11,2016-11-01,242.026,0.1
227,2016,M12,2016-12-01,242.637,0.3
228,2017,M01,2017-01-01,243.618,0.4
229,2017,M02,2017-02-01,244.006,0.2
230,2017,M03,2017-03-01,243.892,0.0
231,2017,M04,2017-04-01,244.193,0.1
232,2017,M05,2017-05-01,244.004,-0.1
233,2017,M06,2017-06-01,244.163,0.1
234,2017,M07,2017-07-01,244.243,0.0
235,2017,M08,2017-08-01,245.183,0.4
236,2017,M09,2017-09-01,246.435,0.5
237,2017,M10,2017-10-01,246.626,0.1
238,2017,M11,2017-11-01,247.284,0.3
239,2017,M12,2017-12-01,247.805,0.2
240,2018,M01,2018-01-01,248.859,0.4
241,2018,M02,2018-02-01,249.529,0.3
242,2018,M03,2018-03-01,249.577,0.0
243,2018,M04,2018-04-01,250.227,0.3
244,2018,M05,2018-05-01,250.792,0.2
245,2018,M06,2018-06-01,251.018,0.1
246,2018,M07,2018-07-01,251.214,0.1
247,2018,M08,2018-08-01,251.663,0.2
248,2018,M09,2018-09-01,252.182,0.2
249,2018,M10,2018-10-01,252.772,0.2
250,2018,M11,2018-11-01,252.594,-0.1
251,2018,M12,2018-12-01,252.767,0.1
252,2019,M01,2019-01-01,252.718,0.0
253,2019,M02,2019-02-01,253.322,0.2
254,2019,M03,2019-03-01,254.202,0.3
255,2019,M04,2019-04-01,255.211,0.4
256,2019,M05,2019-05-01,255.29,0.0
257,2019,M06,2019-06-01,255.159,-0.1
258,2019,M07,2019-07-01,255.685,0.2
259,2019,M08,2019-08-01,256.059,0.1
260,2019,M09,2019-09-01,256.511,0.2
261,2019,M10,2019-10-01,257.244,0.3
262,2019,M11,2019-11-01,257.803,0.2
263,2019,M12,2019-12-01,258.616,0.3
264,2020,M01,2020-01-01,259.037,0.2
265,2020,M02,2020-02-01,259.248,0.1
266,2020,M03,2020-03-01,258.124,-0.4
267,2020,M04,2020-04-01,256.092,-0.8
268,2020,M05,2020-05-01,255.868,-0.1
269,2020,M06,2020-06-01,256.986,0.4
270,2020,M07,2020-07-01,258.278,0.5
271,2020,M08,2020-08-01,259.411,0.4
272,2020,M09,2020-09-01,260.029,0.2
273,2020,M10,2020-10-01,260.286,0.1
274,2020,M11,2020-11-01,260.813,0.2
275,2020,M12,2020-12-01,262.035,0.5
276,2021,M01,2021-01-01,262.65,0.2
277,2021,M02,2021-02-01,263.638,0.4
278,2021,M03,2021-03-01,264.914,0.5
279,2021,M04,2021-04-01,266.67,0.7
280,2021,M05,2021-05-01,268.444,0.7
281,2021,M06,2021-06-01,270.559,0.8
282,2021,M07,2021-07-01,271.764,0.4
283,2021,M08,2021-08-01,272.87,0.4
284,2021,M09,2021-09-01,274.028,0.4
285,2021,M10,2021-10-01,276.522,0.9
286,2021,M11,2021-11-01,278.711,0.8
287,2021,M12,2021-12-01,280.887,0.8
288,2022,M01,2022-01-01,282.599,0.6
289,2022,M02,2022-02-01,284.61,0.7
290,2022,M03,2022-03-01,287.472,1.0
291,2022,M04,2022-04-01,288.611,0.4
292,2022,M05,2022-05-01,291.268,0.9
293,2022,M06,2022-06-01,294.728,1.2
294,2022,M07,2022-07-01,294.628,0.0
295,2022,M08,2022-08-01,295.32,0.2
296,2022,M09,2022-09-01,296.539,0.4
297,2022,M10,2022-10-01,297.987,0.5
298,2022,M11,2022-11-01,298.598,0.2
299,2022,M12,2022-12-01,298.99,0.1
300,2023,M01,2023-01-01,300.536,0.5
301,2023,M02,2023-02-01,301.648,0.4
302,2023,M03,2023-03-01,301.808,0.1
303,2023,M04,2023-04-01,302.918,0.4
304,2023,M05,2023-05-01,303.294,0.1
305,2023,M06,2023-06-01,303.841,0.2
306,2023,M07,2023-07-01,304.348,0.2
307,2023,M08,2023-08-01,306.269,0.6
308,2023,M09,2023-09-01,307.481,0.4
309,2023,M10,2023-10-01,307.619,0.0
310,2023,M11,2023-11-01,307.917,0.1
