Series ID,Year,Period,Label,Value,1-Month % Change
CUSR0000SA0,2021,M01,2021 Jan,262.650,0.2
CUSR0000SA0,2021,M02,2021 Feb,263.638,0.4
CUSR0000SA0,2021,M03,2021 Mar,264.914,0.5
CUSR0000SA0,2021,M04,2021 Apr,266.670,0.7
CUSR0000SA0,2021,M05,2021 May,268.444,0.7
CUSR0000SA0,2021,M06,2021 Jun,270.559,0.8
CUSR0000SA0,2021,M07,2021 Jul,271.764,0.4
CUSR0000SA0,2021,M08,2021 Aug,272.870,0.4
CUSR0000SA0,2021,M09,2021 Sep,274.028,0.4
CUSR0000SA0,2021,M10,2021 Oct,276.522,0.9
CUSR0000SA0,2021,M11,2021 Nov,278.711,0.8
CUSR0000SA0,2021,M12,2021 Dec,280.887,0.8
CUSR0000SA0,2022,M01,2022 Jan,282.599,0.6
CUSR0000SA0,2022,M02,2022 Feb,284.610,0.7
CUSR0000SA0,2022,M03,2022 Mar,287.472,1.0
CUSR0000SA0,2022,M04,2022 Apr,288.611,0.4
CUSR0000SA0,2022,M05,2022 May,291.268,0.9
CUSR0000SA0,2022,M06,2022 Jun,294.728,1.2
CUSR0000SA0,2022,M07,2022 Jul,294.628,0.0
CUSR0000SA0,2022,M08,2022 Aug,295.320,0.2
CUSR0000SA0,2022,M09,2022 Sep,296.539,0.4
CUSR0000SA0,2022,M10,2022 Oct,297.987,0.5
CUSR0000SA0,2022,M11,2022 Nov,298.598,0.2
CUSR0000SA0,2022,M12,2022 Dec,298.990,0.1
CUSR0000SA0,2023,M01,2023 Jan,300.536,0.5
CUSR0000SA0,2023,M02,2023 Feb,301.648,0.4
CUSR0000SA0,2023,M03,2023 Mar,301.808,0.1
CUSR0000SA0,2023,M04,2023 Apr,302.918,0.4
CUSR0000SA0,2023,M05,2023 May,303.294,0.1
CUSR0000SA0,2023,M06,2023 Jun,303.841,0.2
CUSR0000SA0,2023,M07,2023 Jul,304.348,0.2
CUSR0000SA0,2023,M08,2023 Aug,306.269,0.6
CUSR0000SA0,2023,M09,2023 Sep,307.481,0.4
CUSR0000SA0,2023,M10,2023 Oct,307.619,0.0
CUSR0000SA0,2023,M11,2023 Nov,307.917,0.1
