date,fixed rate,six-month inflation rate
09-1998,3.4,0.62
11-1998,3.3,0.86
05-1999,3.3,0.86
11-1999,3.4,1.76
05-2000,3.6,1.91
11-2000,3.4,1.52
05-2001,3.0,1.44
11-2001,2.0,1.19
05-2002,2.0,0.28
11-2002,1.6,1.23
05-2003,1.1,1.77
11-2003,1.1,0.54
05-2004,1.0,1.19
11-2004,1.0,1.33
05-2005,1.2,1.79
11-2005,1.0,2.85
05-2006,1.4,0.5
11-2006,1.4,1.55
05-2007,1.3,1.21
11-2007,1.2,1.53
05-2008,0.0,2.42
11-2008,0.7,2.46
05-2009,0.1,-2.78
11-2009,0.3,1.53
05-2010,0.2,0.77
11-2010,0.0,0.37
05-2011,0.0,2.3
11-2011,0.0,1.53
05-2012,0.0,1.1
11-2012,0.0,0.88
05-2013,0.0,0.59
11-2013,0.2,0.59
05-2014,0.1,0.92
11-2014,0.0,0.74
05-2015,0.0,-0.8
11-2015,0.1,0.77
05-2016,0.1,0.08
11-2016,0.0,1.38
05-2017,0.0,0.98
11-2017,0.1,1.24
05-2018,0.3,1.11
11-2018,0.5,1.16
05-2019,0.5,0.7
11-2019,0.2,1.01
05-2020,0.0,0.53
11-2020,0.0,0.84
05-2021,0.0,1.77
11-2021,0.0,3.56
05-2022,0.0,4.81
11-2022,0.4,3.24
05-2023,0.9,1.69
11-2023,1.3,1.97
