,date,fixed rate,six-month inflation rate
0,2023-05-01,.90,1.69
1,2023-11-01,1.3,1.97
0,2022-11-01,0.4,3.24
1,2022-05-01,0.0,4.81
2,2021-11-01,0.0,3.56
3,2021-05-01,0.0,1.77
4,2020-11-01,0.0,0.84
5,2020-05-01,0.0,0.53
6,2019-11-01,0.2,1.01
7,2019-05-01,0.5,0.7
8,2018-11-01,0.5,1.16
9,2018-05-01,0.3,1.11
10,2017-11-01,0.1,1.24
11,2017-05-01,0.0,0.98
12,2016-11-01,0.0,1.38
13,2016-05-01,0.1,0.08
14,2015-11-01,0.1,0.77
15,2015-05-01,0.0,-0.8
16,2014-11-01,0.0,0.74
17,2014-05-01,0.1,0.92
18,2013-11-01,0.2,0.59
19,2013-05-01,0.0,0.59
20,2012-11-01,0.0,0.88
21,2012-05-01,0.0,1.1
22,2011-11-01,0.0,1.53
23,2011-05-01,0.0,2.3
24,2010-11-01,0.0,0.37
25,2010-05-01,0.2,0.77
26,2009-11-01,0.3,1.53
27,2009-05-01,0.1,-2.78
28,2008-11-01,0.7,2.46
29,2008-05-01,0.0,2.42
30,2007-11-01,1.2,1.53
31,2007-05-01,1.3,1.21
32,2006-11-01,1.4,1.55
33,2006-05-01,1.4,0.5
34,2005-11-01,1.0,2.85
35,2005-05-01,1.2,1.79
36,2004-11-01,1.0,1.33
37,2004-05-01,1.0,1.19
38,2003-11-01,1.1,0.54
39,2003-05-01,1.1,1.77
40,2002-11-01,1.6,1.23
41,2022-05-01,2.0,0.28
42,2001-11-01,2.0,1.19
43,2001-05-01,3.0,1.44
44,2000-11-01,3.4,1.52
45,2000-05-01,3.6,1.91
46,1999-11-01,3.4,1.76
47,1999-05-01,3.3,0.86
48,1998-11-01,3.3,0.86
49,1998-09-01,3.4,0.62
